,CL0106,CL0107,CL0108,CL0109,CL0110,CL0111,CL0114,CL0116,CL0124,CL0125,CL0126,CL0146,CL0147,CL0191,CL0193,CL0196,NCI0422
A1BG,2.699626835,2.784795634,1.629505633,614.5433573,297.1497063,1.869167864,3.564679952,4.453517424,5.374081154,4.419255581,2.648222599,2.730096611,2.318698517,1.006387769,2.687828235,4.726728296,1.508377406
A1BG-AS1,0.043887885,1.234065256,0.111655878,0.570414556,0.211015912,0.139826345,0,0.474326175,0.562266094,0.090843969,0.282124231,0.203312415,0.086402312,0.405926334,0.867864625,1.479252738,0.048100298
A1CF,0.4469982,0.219502365,0.27999026,21.50455611,16.79452461,0.022098594,0,0.027679014,0.214610827,1.735633879,0.064619997,0.014280947,0.02579333,0.013068381,0.007749155,0.038410295,0.043077557
A2M,197.3025353,22.23620442,16.451594,2183.986242,1750.494879,240.5318675,147.7402627,42.51353979,9.43116446,39.10031191,100.0147376,92.69531661,39.34996265,59.09480463,12.92720117,24.72859659,206.6761908
A2M-AS1,0.056992041,0.10985123,0.043498312,0.243052156,0.11066256,0.022697006,0.154204017,0.085285618,0.320301181,0.501365662,0.095572591,0.046203141,0.112200533,0.691856612,0.229219087,0.102419348,0.269368267
A2ML1,0.459010161,0.015810596,0.110864731,0.063716944,0.03223396,0.027767119,0.524029128,0.176793127,0.429771888,4.798655214,0.077947886,0.078057107,0.03145637,0.040305011,0.140211302,0.055688014,0.133726542
A3GALT2,0.700575922,0.607829575,1.301887893,0.296916668,0.236577731,0.121305847,0.549436601,0.486203054,1.457853659,1.513178131,3.218007612,0.705531842,0.449748106,0.152602642,0.107194373,0.364925242,0.175262816
A4GALT,1.06430204,0.359334543,1.123698825,0.29538842,2.506133512,9.649808773,0.575938837,0.156317857,0.325873171,2.484504975,1.467483583,0.977867133,3.352475295,2.358435854,0.205110578,0.804724558,1.987833802
A4GNT,0.228732457,0.015959387,0.067144839,0.128633153,0,0.014014216,0,0.026329707,0.331741967,2.039500959,0.029505542,0.032603459,0.129896192,0.11527223,0.061919731,0.075886317,0.520656528
AAAS,20.31391477,21.46158273,27.6144253,47.08738833,40.62591048,42.70231228,31.41575207,45.94201807,45.99125951,26.71698083,39.34014496,44.82730401,45.2618577,40.24780127,22.24045278,52.19405066,44.4636547
AACS,3.330278489,12.79703797,14.13136516,4.091823703,7.672406814,7.821716935,4.712747141,9.979339773,2.159888833,3.857694973,4.898294283,26.9548168,13.70589881,8.057679335,4.068351304,3.146810131,6.374001974
AADAC,1.076876869,0.995566673,0.284507291,113.1981147,102.8186376,0.42886481,0.049807146,0.220374712,0.150177659,4.629540668,0.023152111,2.110593659,0.067950423,0.031923759,0.006940936,0.00661619,0.034045293
AADACL2,0.290830387,0,1.030583755,0.050624292,0.138296582,0,0.149886305,3.346991439,0.647772976,3.912952548,0,0.086611089,0.010224274,0.096069232,0.375976607,0,0.051226817
AADACL3,0.011525237,0,0.005864308,0,0,0,0,0.001916324,0.01671562,0.310130624,0.006442401,0,0,0.022208089,0,0,0.009473582
AADACL4,0.057210034,0.008648738,0.014554897,0,0,0,0,0.019024852,0.248923605,2.486811948,0.047969077,0.00883426,0,0.007349237,0,0.009138764,0.031350561
AADAT,4.234196647,4.963924821,8.494942716,16.73005952,13.95737275,2.938682154,12.16096007,6.202967583,16.02340804,4.573658256,0.723839443,7.350897166,1.972691314,4.372544221,21.66432928,10.2046963,2.559651326
AAED1,1.901353511,2.268376034,3.198140267,2.2282165,2.835268058,2.565837892,3.407830867,1.782073319,0.930918601,2.90785436,3.69618545,1.340850515,3.862415061,1.036113953,2.003114129,1.648231022,2.090484188
AAGAB,5.686541589,13.0656948,8.776109423,13.19793959,13.79155192,12.37802497,9.316269359,7.702468102,17.54383812,4.702783156,10.70449228,8.040622496,7.00182875,8.435074088,16.60536784,7.814526773,9.679675207
AAK1,7.890841599,1.310528012,4.482533261,2.280057161,2.351009381,2.292257806,3.452001773,3.219762692,2.489731596,3.00581824,3.694538501,2.572741021,2.894193041,3.328427323,3.480855608,3.159996902,4.668590263
AAMDC,6.564950452,20.92548003,14.67893776,28.22266716,30.52168637,16.46019556,23.01666548,20.89352126,13.98047051,6.985820328,16.16472476,17.39075276,29.44408766,18.61875889,18.0597072,10.2136403,13.75675658
AAMP,6.824083555,51.80644954,24.62850708,66.55542723,58.56734064,41.29948101,17.35931699,24.69326941,41.19647484,4.316044992,15.78388383,21.22383726,20.25238662,27.66429758,13.80369581,36.46188212,32.87673371
AANAT,0,0.031157248,0.082396763,0.023916988,0.010889495,0.031268254,0,0,0.078287889,0.507867857,0.032916103,0.036372111,0.024151827,0.064298305,0.03947261,0.05173548,0.064537723
AAR2,4.230565708,11.11036451,2.651766078,4.980527184,4.225392954,5.827677163,4.792494983,3.608873794,2.806065503,2.91896329,2.998853836,4.437224566,3.909544064,4.011636073,4.085957697,5.85034362,5.633381964
AARD,0.226811412,0.023738025,0.066580913,0.148811608,0.019358424,0.111172122,0,0,0.101217163,0.505592973,0,0.113153718,0.171740318,0.00672377,0.157884913,0.008360997,0.014341214
AARS,109.6866173,47.10806074,79.29702432,171.1688705,228.405391,117.6654889,46.68556728,111.1557631,157.2946749,34.70763189,60.93052863,149.8218661,69.52808957,79.94988643,53.14015357,110.6744135,175.1548772
AARS2,2.512663381,3.011795872,4.406968925,6.26296846,5.994997424,6.581554489,2.104962445,7.0675852,5.630227989,3.155498047,4.024130801,8.87609763,3.085873684,4.553124274,1.536217871,7.048564036,3.074496179
AARSD1,0,0.041442926,0,0,0,0.054587631,0,0.011395384,0.132532151,0.094573633,0.019154807,0.010582978,0.033731108,19.09587291,11.31283473,33.08412246,0.037556318
AASDH,4.815380751,2.700200356,2.323673856,4.995818276,5.275170586,3.606145716,3.870943898,6.61417187,54.29351901,5.54346581,5.610170619,5.277812714,6.607708744,4.121671297,7.350419854,5.07930577,3.678521455
AASDHPPT,3.191190772,18.23185978,4.563685223,8.971169513,10.32027973,5.682125297,3.81133473,5.161180951,10.84421973,1.510467527,6.219012214,5.74178138,8.898441557,6.09037296,11.09904145,5.141121915,7.860388953
